asset_id,snapshot_date,material,diameter_mm,install_year,age_years,prior_break_count,break_within_horizon,horizon_years,street,snapshot_origin
31170,1987-10-31,CI,150.0,1954.0,33.0,0,0,5,PROSPECT AVE,negative_T_minus_H_minus_5y
42050,1987-11-04,CI,150.0,1959.0,28.0,0,0,5,WESTGATE WALK,negative_T_minus_H_minus_5y
24240,1987-11-05,CI,150.0,1965.0,22.0,0,0,5,LORRAINE AVE,negative_T_minus_H_minus_5y
20440,1987-11-06,CI,150.0,1966.0,21.0,0,0,5,INWOOD DR,negative_T_minus_H_minus_5y
43570,1987-11-14,CI,200.0,1954.0,33.0,0,0,5,WILSON AVE,negative_T_minus_H_minus_5y
20470,1987-11-16,CI,150.0,1955.0,32.0,0,0,5,ISLINGTON AVE,negative_T_minus_H_minus_5y
19620,1987-11-17,CI,150.0,1936.0,51.0,0,0,5,HOFFMAN ST,negative_T_minus_H_minus_5y
3640,1987-11-17,CI,150.0,1956.0,31.0,0,0,5,BLUERIDGE AVE,negative_T_minus_H_minus_5y
29630,1987-11-26,CI,150.0,1923.0,64.0,0,0,5,OTTAWA ST S,negative_T_minus_H_minus_5y
5510,1987-11-26,CI,150.0,1967.0,20.0,0,0,5,CARNABY CRES,negative_T_minus_H_minus_5y
4000,1987-11-28,CI,150.0,1965.0,22.0,0,0,5,BRADLEY DR,negative_T_minus_H_minus_5y
7300,1987-11-30,CI,150.0,1956.0,31.0,0,0,5,CLAREMONT AVE,negative_T_minus_H_minus_5y
19740,1987-12-04,CI,150.0,1967.0,20.0,0,0,5,HOLBORN DR,negative_T_minus_H_minus_5y
32320,1987-12-09,CI,150.0,1960.0,27.0,0,0,5,RIPPLEWOOD CRES,negative_T_minus_H_minus_5y
33760,1987-12-10,CI,150.0,1963.0,24.0,0,0,5,RUSKVIEW RD,negative_T_minus_H_minus_5y
34860,1987-12-10,CI,150.0,1954.0,33.0,0,0,5,SHERWOOD AVE,negative_T_minus_H_minus_5y
18700,1987-12-12,CI,150.0,1960.0,27.0,0,0,5,HICKSON DR,negative_T_minus_H_minus_5y
290,1987-12-12,CI,150.0,1958.0,29.0,1,0,5,ABERDEEN RD,negative_T_minus_H_minus_5y
5190,1987-12-14,CI,150.0,1962.0,25.0,0,0,5,CAIT AVE,negative_T_minus_H_minus_5y
36510,1987-12-16,CI,150.0,1962.0,25.0,0,0,5,STONYBROOK DR,negative_T_minus_H_minus_5y
30980,1987-12-23,CI,150.0,1962.0,25.0,0,0,5,PLAZA CRT,negative_T_minus_H_minus_5y
79964,1987-12-23,CI,150.0,1948.0,39.0,0,0,5,LANG CRES,negative_T_minus_H_minus_5y
32090,1987-12-31,CI,150.0,1962.0,25.0,0,0,5,RANDERSON AVE,negative_T_minus_H_minus_5y
19660,1988-01-01,CI,150.0,1956.0,32.0,0,0,5,HOFFMAN ST,negative_T_minus_H_minus_2y
29860,1988-01-01,CI,150.0,1964.0,24.0,0,0,5,OWEN AVE,negative_T_minus_H_minus_4y
33540,1988-01-01,CI,150.0,1959.0,29.0,0,0,5,ROSS AVE,negative_T_minus_H_minus_4y
96228,1988-01-01,CI,150.0,1963.0,25.0,0,0,5,HUGO CRES,negative_T_minus_H_minus_3y
31890,1988-01-02,CI,150.0,1966.0,22.0,0,0,5,QUEENSTON DR,negative_T_minus_H_minus_4y
14850,1988-01-05,CI,200.0,1962.0,26.0,0,0,5,FOREST HILL DR,negative_T_minus_H_minus_5y
37550,1988-01-05,CI,150.0,1965.0,23.0,0,0,5,TECUMSEH CRES,negative_T_minus_H_minus_4y
39010,1988-01-05,CI,200.0,1959.0,29.0,0,0,5,VANIER DR,negative_T_minus_H_minus_5y
20260,1988-01-07,CI,150.0,1967.0,21.0,0,0,5,INDIAN RD,negative_T_minus_H_minus_4y
17380,1988-01-09,CI,150.0,1953.0,35.0,0,0,5,GREENFIELD AVE,negative_T_minus_H_minus_4y
20030,1988-01-09,CI,150.0,1963.0,25.0,0,0,5,HUGO CRES,negative_T_minus_H_minus_5y
41030,1988-01-13,CI,150.0,1952.0,36.0,0,0,5,WEBER ST E,negative_T_minus_H_minus_4y
7190,1988-01-13,CI,150.0,1964.0,24.0,0,0,5,CHRISTINE CRES,negative_T_minus_H_minus_4y
92920,1988-01-13,CI,150.0,1955.0,33.0,0,0,5,DONALD ST,negative_T_minus_H_minus_5y
21430,1988-01-14,CI,250.0,1889.0,99.0,0,0,5,KING ST W,negative_T_minus_H_minus_4y
40440,1988-01-15,CI,150.0,1988.0,0.0,0,0,5,WARREN RD,negative_T_minus_H_minus_4y
85016,1988-01-15,CI,150.0,1967.0,21.0,0,0,5,THALER AVE,negative_T_minus_H_minus_4y
24390,1988-01-18,CI,150.0,1948.0,40.0,0,0,5,LANG CRES,negative_T_minus_H_minus_5y
41030,1988-01-18,CI,150.0,1952.0,36.0,0,0,5,WEBER ST E,negative_T_minus_H_minus_5y
290,1988-01-19,CI,150.0,1958.0,30.0,1,0,5,ABERDEEN RD,negative_T_minus_H_minus_4y
7940,1988-01-20,DI,150.0,1966.0,22.0,0,0,5,CONWAY DR,negative_T_minus_H_minus_5y
89516,1988-01-22,CI,150.0,1966.0,22.0,0,0,5,CONWAY DR,negative_T_minus_H_minus_5y
38490,1988-01-23,CI,150.0,1966.0,22.0,0,0,5,TUPPER CRES,negative_T_minus_H_minus_5y
92202,1988-01-23,CI,150.0,1967.0,21.0,0,0,5,GAY CRES,negative_T_minus_H_minus_5y
32160,1988-01-24,CI,150.0,1963.0,25.0,0,0,5,RENNIE DR,negative_T_minus_H_minus_5y
27560,1988-01-25,CI,150.0,1958.0,30.0,0,0,5,MUNROE ST,negative_T_minus_H_minus_4y
24610,1988-01-27,CI,150.0,1958.0,30.0,0,0,5,LYNDHURST DR,negative_T_minus_H_minus_4y
41030,1988-01-27,CI,150.0,1952.0,36.0,0,0,5,WEBER ST E,negative_T_minus_H_minus_4y
41040,1988-01-27,DI,300.0,1965.0,23.0,0,0,5,WEBER ST E,negative_T_minus_H_minus_4y
9590,1988-01-29,CI,150.0,1958.0,30.0,0,0,5,DOON RD,negative_T_minus_H_minus_4y
14020,1988-02-05,DI,100.0,1958.0,30.0,0,0,5,FARMBROOK PL,negative_T_minus_H_minus_4y
85100,1988-02-05,DI,150.0,1965.0,23.0,0,0,5,STRATHCONA CRES,negative_T_minus_H_minus_4y
20620,1988-02-10,CI,150.0,1951.0,37.0,0,0,5,JOHNSTON ST,negative_T_minus_H_minus_4y
32170,1988-02-12,CI,150.0,1963.0,25.0,0,0,5,RENNIE DR,negative_T_minus_H_minus_4y
26970,1988-02-14,CI,200.0,1965.0,23.0,0,0,5,MONTCALM DR,negative_T_minus_H_minus_5y
6940,1988-02-14,CI,150.0,1960.0,28.0,0,0,5,CHARLOTTE CRES,negative_T_minus_H_minus_5y
14830,1988-02-15,CI,200.0,1962.0,26.0,0,0,5,FOREST HILL DR,negative_T_minus_H_minus_4y
4430,1988-02-15,DI,150.0,1952.0,36.0,0,0,5,BRICK ST,negative_T_minus_H_minus_5y
18000,1988-02-19,CI,200.0,1967.0,21.0,0,0,5,HANSON AVE,negative_T_minus_H_minus_5y
4430,1988-02-20,DI,150.0,1952.0,36.0,0,0,5,BRICK ST,negative_T_minus_H_minus_5y
35140,1988-02-21,CI,150.0,1953.0,35.0,0,0,5,SIXTH AVE,negative_T_minus_H_minus_4y
5110,1988-02-22,CI,100.0,1955.0,33.0,0,0,5,BURN PL,negative_T_minus_H_minus_5y
